Year,Country/State,Number of schools,Number of teachers,Numbers of pupil,SPM Candidates,LAYAK DAPAT SIJIL,LAYAK DAPAT SIJIL %,GPN,Mean Monthly Household Gross Income,Labour force (000),Employed (000),Unemployed (000),Outside labour force (000),Labour force participation rate (%),Unemployment rate (%)
2000,Malaysia,1645,113249,1998781,395612,298764,90.78,5.15,2508,9556.1,9269.2,286.9,5065.1,130.6,6
2001,Malaysia,1726,118312,2038262,410567,306798,91.54,5.33,2987,9699.5,9357,342.3,5239.9,129.4,7.3
2002,Malaysia,1819,124408,2052956,420220,341276,93.2,5.23,3011,9886.2,9542.6,343.5,5473.8,128.5,7.1
2003,Malaysia,1902,127773,2098817,420058,345678,89.7,5.41,3109,10239.6,9869.8,369.8,5458.6,130.2,7.4
2004,Malaysia,1976,132298,2156215,425178,356789,88.43,5.29,3249,10346.2,9979.5,366.7,5730.6,128.1,7.3
2005,Malaysia,2028,136598,2219068,438132,367090,91,5.39,3457,10413.4,10045.4,368.1,6048.2,125.6,7.3
2006,Malaysia,2047,138583,2228066,416717,358060,89.7,5.42,3590,10629,10275.3,353.5,6205.1,125.6,6.7
2007,Malaysia,2058,145174,2253383,439255,382286,90.8,5.47,3686,10889.5,10538.1,351.4,6330.1,126,6.6
2008,Malaysia,2181,159016,2310660,448365,347443,90.8,5.24,3897,11028.1,10659.6,368.5,6575.7,124.5,6.9
2009,Malaysia,2219,170677,2331901,465853,364046,90.8,5.34,4025,11315.3,10897.3,417.9,6665.7,125.2,7.4
2010,Malaysia,2248,175241,2242341,404135,368559,91.2,5.15,4390,12303.9,11899.5,404.4,7023,126.5,6.6
2011,Malaysia,2282,177388,2327427,406305,370396,91.16,5.04,4853,12740.6,12351.5,389.2,7023.4,127.8,6.4
2012,Malaysia,2307,177462,2326498,410140,373250,91.01,5.08,5000,13221.7,12820.5,401.2,6927.5,130.4,6.2
2013,Malaysia,2347,177811,2320300,409466,349383,85.33,5.19,5683,13980.5,13545.4,435.1,6781.2,133.6,6.3
2014,Malaysia,2375,180224,2159906,394601,334729,84.83,5.57,6141,14263.7,13852.6,411,6821,135.2,5.9
2015,Malaysia,2397,181975,2072162,378861,316506,84.76,5.66,6380,14517.9,14067.7,450.3,6869.9,135.6,6.2
2016,Malaysia,2407,181719,2049030,376007,313667,84.79,5.1,6958,14667.8,14163.6,504.1,6987.6,135.2,6.8
2017,Malaysia,2416,181633,2005876,380024,318938,85.21,4.9,7219,14980.1,14476.8,503.3,7065.1,135.6,6.5
2018,Malaysia,2433,183476,2075618,357243,303343,86.35,4.89,7713,15280.3,14776,504.3,7094.5,135.6,6.6
2019,Malaysia,2439,182432,2045777,354124,301510,86.72,4.86,7901,15581.6,15073.5,100.2,1612.5,66.3,3.2
2020,Malaysia,2440,180178,1988781,347137,302477,88.68,4.8,7089,15667.7,14956.7,138.5,1611.6,65.8,4.5
